,,,,4,B,B,W,-,-,B,B,B,,
,,,,5,+,+,-,B,W,+,+,+,,
,,,,6,W,W,W,W,+,W,W,W,,
,,,,7,W,W,W,W,+,W,W,W,,
,,,,8,W,W,W,W,+,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
227,5,X/H/Y/CNOT/SWAP/Z,All white,7,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,+,+,+,+,W,W,+,+,,
,,,,6,B,B,B,+,B,+,W,B,,
,,,,7,W,W,W,W,W,B,B,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
228,5,X/H/Y/CNOT/SWAP/Z,All white,7,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,B,W,W,W,,
,,,,4,W,W,W,W,B,B,B,W,,
,,,,5,B,B,B,B,B,W,W,B,,
,,,,6,W,W,W,W,B,B,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
229,5,X/H/Y/CNOT/SWAP/Z,All white,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,-,W,W,W,W,W,,
,,,,2,W,W,-,W,W,W,W,W,,
,,,,3,B,B,+,B,B,B,B,B,,
,,,,4,W,W,-,W,W,W,W,W,,
,,,,5,+,+,B,+,+,+,+,+,,
,,,,6,W,W,-,W,B,B,W,W,,
,,,,7,W,W,-,W,W,W,W,W,,
,,,,8,W,W,-,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
230,5,X/H/Y/Z/CNOT/SWAP,All white,6,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,-,-,W,W,W,,
,,,,5,B,B,W,W,-,B,B,B,,
,,,,6,W,W,B,B,-,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
231,4,X/H/Y/Z/CNOT/SWAP,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,+,+,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
232,5,X/H/Y/Z/CNOT/SWAP,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,W,W,B,B,W,W,W,W,,
,,,,6,B,B,B,W,B,B,B,B,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,B,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
233,5,X/H/Y/Z/CNOT/SWAP,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,B,W,,
,,,,5,W,W,W,W,W,W,-,W,,
,,,,6,W,W,W,W,+,B,W,W,,
,,,,7,W,W,W,W,+,-,W,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
234,5,X/H/Y/CNOT/SWAP/Z,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,-,W,W,W,,
,,,,2,W,W,W,W,-,W,W,W,,
,,,,3,W,W,W,W,B,+,W,W,,
,,,,4,W,W,W,B,W,+,W,W,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,-,-,W,W,W,,
,,,,7,W,W,W,W,-,W,W,W,,
,,,,8,W,W,W,W,-,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
235,5,X/H/Y/SWAP/Z/CNOT,All white,6,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,+,-,+,W,W,,
,,,,6,B,B,-,-,W,-,B,B,,
,,,,7,W,W,+,+,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
236,5,X/H/Y/SWAP/Z/CNOT,All white,5,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,-,W,W,W,W,W,,
,,,,2,W,W,-,W,W,W,W,W,,
,,,,3,W,W,B,+,W,W,W,W,,
,,,,4,+,+,-,W,+,+,+,+,,
,,,,5,W,W,-,W,W,W,W,W,,
,,,,6,W,W,+,W,W,W,W,W,,
,,,,7,W,W,-,W,W,W,W,W,,
,,,,8,W,W,-,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
237,5,X/H/Y/SWAP/Z/CNOT,All white,5,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,B,B,B,B,-,+,W,B,,
,,,,6,+,+,+,+,B,W,-,+,,
,,,,7,W,W,W,W,B,B,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
238,6,X/H/Y/Z,All black,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,W,B,B,B,B,B,,
,,,,2,B,B,W,B,B,B,B,B,,
,,,,3,B,B,W,B,B,B,B,B,,
,,,,4,B,B,W,B,W,W,B,B,,
,,,,5,-,-,W,B,-,-,-,-,,
,,,,6,B,B,+,B,-,B,B,B,,
,,,,7,B,B,W,+,-,B,B,B,,
,,,,8,B,B,W,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
239,6,X/H/Y/Z,All black,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,-,B,B,B,,
,,,,2,B,B,B,B,-,B,B,B,,
,,,,3,B,B,B,B,-,B,B,B,,
,,,,4,B,B,W,W,-,B,B,B,,
,,,,5,W,W,W,B,-,W,W,W,,
,,,,6,B,B,W,B,-,W,B,B,,
,,,,7,B,B,B,B,+,W,B,B,,
,,,,8,B,B,B,B,-,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
240,6,X/H/Y/Z,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,B,W,W,,
,,,,2,W,W,B,W,W,B,W,W,,
,,,,3,+,+,+,-,+,-,+,+,,
,,,,4,B,B,B,W,B,B,W,B,,
,,,,5,W,W,B,W,W,B,W,W,,
,,,,6,W,W,B,W,W,B,W,W,,
,,,,7,W,W,B,W,W,B,W,W,,
,,,,8,W,W,B,W,W,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
241,6,X/H/Y/Z,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,B,+,W,W,,
,,,,2,W,W,B,W,B,+,W,W,,
,,,,3,W,W,B,W,B,+,W,W,,
,,,,4,B,B,W,W,B,-,B,B,,
,,,,5,W,W,B,B,W,+,W,W,,
,,,,6,W,W,B,W,W,+,W,W,,
,,,,7,W,W,B,W,W,+,W,W,,
,,,,8,W,W,B,W,B,+,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
242,6,X/H/Y/Z,All white,10,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,+,+,W,W,B,B,+,+,,
,,,,5,B,B,-,-,+,+,B,B,,
,,,,6,W,W,W,W,W,B,W,W,,
,,,,7,W,W,W,W,W,B,W,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
243,6,X/H/Y/Z,All white,5,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,W,W,+,W,W,,
,,,,4,+,+,+,+,+,W,+,+,,
,,,,5,W,W,W,W,B,+,B,W,,
,,,,6,W,W,+,-,W,+,B,W,,
,,,,7,W,W,+,-,B,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
244,6,X/H/Y/Z,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,+,W,W,W,,
,,,,2,W,W,B,W,+,W,W,W,,
,,,,3,W,W,B,W,+,W,W,W,,
,,,,4,W,W,B,W,W,-,W,W,,
,,,,5,+,+,-,+,+,B,+,+,,
,,,,6,W,W,B,W,+,W,W,W,,
,,,,7,W,W,B,W,+,W,W,W,,
,,,,8,W,W,B,W,+,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
245,6,X/H/Y/Z,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,B,W,W,,
,,,,2,W,W,W,+,W,B,W,W,,
,,,,3,W,W,W,+,W,B,W,W,,
,,,,4,W,W,+,W,W,B,W,W,,
,,,,5,-,-,W,-,-,+,-,-,,
,,,,6,B,B,B,-,B,W,B,B,,
,,,,7,W,W,W,+,W,B,W,W,,
,,,,8,W,W,W,+,W,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
246,5,X/H/Y/Z,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,+,+,+,W,+,+,+,+,,
,,,,5,W,W,W,-,W,-,+,W,,
,,,,6,W,W,W,+,B,-,+,W,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
247,5,X/H/Y/Z,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,B,W,W,,
,,,,2,W,W,W,W,B,B,W,W,,
,,,,3,W,W,W,W,+,-,W,W,,
,,,,4,B,B,B,B,-,+,B,B,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,B,B,W,W,,
,,,,8,W,W,W,W,B,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
248,6,X/H/Y/Z,All white,9,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,+,+,-,+,+,-,+,+,,
,,,,4,W,W,W,B,W,W,W,W,,
,,,,5,W,W,W,B,W,W,W,W,,
,,,,6,B,B,-,-,B,B,B,B,,
,,,,7,W,W,+,+,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
249,6,X/H/Y/Z,All white,9,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,B,B,W,W,W,,
,,,,5,B,B,B,W,B,B,B,B,,
,,,,6,W,W,B,W,B,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
250,6,X/H/Y/Z,All black,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,W,B,B,B,B,,
,,,,2,B,B,B,W,B,B,B,B,,
,,,,3,B,B,B,-,B,-,B,B,,
,,,,4,B,B,W,-,W,-,B,B,,
,,,,5,B,B,+,-,B,B,B,B,,
,,,,6,B,B,-,+,B,B,B,B,,
,,,,7,B,B,B,W,B,B,B,B,,
,,,,8,B,B,B,W,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
251,6,X/H/Y/Z,All black,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,W,+,B,B,B,,
,,,,2,B,B,B,W,+,B,B,B,,
,,,,3,B,B,B,W,+,B,B,B,,
,,,,4,W,W,W,B,-,B,B,W,,
,,,,5,B,B,B,W,-,B,W,B,,
,,,,6,B,B,B,W,-,W,B,B,,
,,,,7,B,B,B,W,+,B,B,B,,
,,,,8,B,B,B,W,+,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
252,6,X/H/Y/Z,All black,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,W,B,B,,
,,,,2,B,B,B,B,W,W,B,B,,
,,,,3,B,B,B,B,W,W,B,B,,
,,,,4,W,W,W,W,B,B,W,W,,
,,,,5,B,B,B,B,W,W,B,B,,
,,,,6,W,W,W,W,B,W,W,W,,
,,,,7,B,B,B,B,W,W,B,B,,
,,,,8,B,B,B,B,W,W,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
253,6,X/H/Y/Z,All black,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,B,B,B,,
,,,,2,B,B,B,B,W,B,B,B,,
,,,,3,+,+,+,-,-,+,+,+,,
,,,,4,B,B,B,B,-,-,B,B,,
,,,,5,B,B,B,W,+,-,B,B,,
,,,,6,B,B,B,B,W,B,B,B,,
,,,,7,B,B,B,B,W,B,B,B,,
,,,,8,B,B,B,B,W,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
254,6,X/H/Y/Z,All black,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,-,W,B,B,B,B,,
,,,,2,B,B,-,W,B,B,B,B,,
,,,,3,+,+,B,+,+,+,+,+,,
,,,,4,B,B,+,B,B,B,B,B,,
,,,,5,B,B,-,W,B,B,B,B,,
,,,,6,B,B,-,W,B,B,B,B,,
,,,,7,B,B,-,W,B,B,B,B,,
,,,,8,B,B,-,W,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
255,6,X/H/Y/Z,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,W,W,W,,
,,,,2,W,W,W,B,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,+,+,+,-,-,+,+,+,,
,,,,5,B,B,W,B,B,B,B,B,,
,,,,6,W,W,W,B,W,W,W,W,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,B,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
256,6,X/H/Y/Z/CNOT/SWAP,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,W,W,W,W,W,B,W,W,,
,,,,5,B,B,B,+,B,W,B,B,,
,,,,6,-,-,-,-,W,+,-,-,,
,,,,7,W,W,W,W,W,B,W,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
257,5,X/H/Y/Z/CNOT/SWAP,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,W,W,W,W,W,B,W,W,,
,,,,5,W,W,-,W,W,B,W,W,,
,,,,6,+,+,+,W,+,-,+,+,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
258,6,X/H/Y/Z/CNOT/SWAP,All white,6,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,W,B,W,B,B,W,W,,
,,,,5,W,W,+,B,B,B,W,W,,
,,,,6,W,W,+,B,-,-,W,W,,
,,,,7,W,W,B,W,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
259,6,X/H/Y/Z/CNOT/SWAP,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,W,W,W,,
,,,,2,W,W,W,W,+,W,W,W,,
,,,,3,W,W,W,W,+,W,W,W,,
,,,,4,W,W,W,W,+,W,W,W,,
,,,,5,B,B,B,B,W,B,+,B,,
,,,,6,W,W,W,W,+,+,+,W,,
,,,,7,W,W,W,W,+,B,B,W,,
,,,,8,W,W,W,W,+,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
260,6,X/H/Y/Z/CNOT/SWAP,All white,10,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,B,W,W,,
,,,,2,W,W,W,B,W,B,W,W,,
,,,,3,W,W,W,B,W,B,W,W,,
,,,,4,W,W,W,B,W,B,W,W,,
,,,,5,W,W,W,W,-,-,W,W,,
,,,,6,+,+,+,+,+,+,+,+,,
,,,,7,W,W,W,B,+,+,W,W,,
,,,,8,W,W,W,B,W,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
261,6,X/H/Y/Z/CNOT/SWAP,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,+,W,W,,
,,,,2,W,W,B,W,W,+,W,W,,
,,,,3,W,W,B,W,W,+,W,W,,
,,,,4,B,B,W,B,B,+,W,B,,
,,,,5,W,W,B,W,W,-,B,W,,
,,,,6,B,B,+,-,B,+,B,B,,
,,,,7,W,W,-,+,W,+,W,W,,
,,,,8,W,W,B,W,W,+,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
262,6,X/H/Y/Z/CNOT/SWAP,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,B,W,W,,
,,,,2,W,W,W,+,W,B,W,W,,
,,,,3,W,W,W,+,W,B,W,W,,
,,,,4,W,W,W,+,W,B,W,W,,
,,,,5,W,W,+,-,B,B,W,W,,
,,,,6,+,+,W,-,B,+,+,+,,
,,,,7,W,W,W,W,+,B,W,W,,
,,,,8,W,W,W,+,W,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
263,6,X/H/Y/Z/CNOT/SWAP,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,+,W,W,W,,
,,,,2,W,W,B,W,+,W,W,W,,
,,,,3,W,W,B,W,+,W,W,W,,
,,,,4,W,W,B,W,-,+,+,W,,
,,,,5,+,+,+,-,W,W,W,+,,
,,,,6,W,W,B,B,-,W,W,W,,
,,,,7,W,W,B,W,+,W,W,W,,
,,,,8,W,W,B,W,+,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
264,6,X/H/Y/Z/CNOT/SWAP,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,B,B,W,W,W,W,W,,
,,,,5,+,+,-,+,+,W,W,+,,
,,,,6,B,B,W,W,W,-,-,B,,
,,,,7,W,W,B,B,B,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
265,6,X/H/Y/Z/CNOT/SWAP,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,-,-,-,-,-,W,B,-,,
,,,,4,W,W,W,W,W,-,+,W,,
,,,,5,+,+,+,W,W,-,+,+,,
,,,,6,W,W,W,+,+,B,W,W,,
,,,,7,W,W,W,W,W,B,W,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
266,6,X/H/Y/Z/CNOT/SWAP,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,-,W,W,,
,,,,3,B,B,W,W,-,W,B,B,,
,,,,4,+,+,-,-,+,W,+,+,,
,,,,5,W,W,W,W,W,+,W,W,,
,,,,6,W,W,W,W,W,+,W,W,,
,,,,7,W,W,W,W,W,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
267,6,X/H/Y/Z/CNOT/SWAP,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,B,W,W,W,,
,,,,4,-,-,-,+,-,+,+,-,,
,,,,5,B,B,B,B,+,-,W,B,,
,,,,6,W,W,W,W,+,+,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
268,6,X/H/Y/Z/CNOT/SWAP,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,+,W,W,W,W,,
,,,,2,W,W,B,-,W,W,W,W,,
,,,,3,W,W,W,B,+,W,W,W,,
,,,,4,B,B,B,W,+,B,B,B,,
,,,,5,W,W,B,+,W,W,W,W,,
,,,,6,W,W,B,+,W,W,W,W,,
,,,,7,W,W,B,+,W,W,W,W,,
,,,,8,W,W,B,+,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
269,6,X/H/Y/Z/CNOT/SWAP,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,W,W,W,,
,,,,2,W,W,W,W,B,W,W,W,,
,,,,3,W,W,W,W,B,W,W,W,,
,,,,4,W,W,W,+,B,+,W,W,,
,,,,5,B,B,-,B,W,-,B,B,,
,,,,6,W,W,-,-,B,W,W,W,,
,,,,7,W,W,W,W,B,W,W,W,,
,,,,8,W,W,W,W,B,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
270,6,X/H/Y/Z/CNOT/SWAP,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,-,-,-,B,B,-,-,-,,
,,,,6,W,W,W,+,-,B,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
271,6,X/H/Y/CNOT/SWAP/Z,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,-,+,-,W,W,,
,,,,4,+,+,+,B,W,W,+,+,,
,,,,5,W,W,W,W,W,+,B,W,,
,,,,6,W,W,W,W,W,+,W,W,,
,,,,7,W,W,W,W,W,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
272,6,X/H/Y/SWAP/Z/CNOT,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,B,W,B,W,,
,,,,6,-,-,+,+,B,W,+,-,,
,,,,7,W,W,W,W,+,+,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
273,5,X/H/Y/CNOT/SWAP/Z,All white,9,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,B,W,W,W,W,,
,,,,6,W,W,B,B,W,B,B,W,,
