,1 bit gate,2 bit gate,,,pieces,,,,,,,,,
230,5,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,-,-,W,W,W,,
,,,,5,B,B,W,W,-,B,B,B,,
,,,,6,W,W,B,B,-,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
231,5,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,+,+,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
232,5,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,W,W,B,B,W,W,W,W,,
,,,,6,B,B,B,W,B,B,B,B,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,B,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
233,5,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,B,W,,
,,,,5,W,W,W,W,W,W,-,W,,
,,,,6,W,W,W,W,+,B,W,W,,
,,,,7,W,W,W,W,+,-,W,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
234,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,-,W,W,W,,
,,,,2,W,W,W,W,-,W,W,W,,
,,,,3,W,W,W,W,B,+,W,W,,
,,,,4,W,W,W,B,W,+,W,W,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,-,-,W,W,W,,
,,,,7,W,W,W,W,-,W,W,W,,
,,,,8,W,W,W,W,-,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
235,5,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,+,-,+,W,W,,
,,,,6,B,B,-,-,W,-,B,B,,
,,,,7,W,W,+,+,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
236,5,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,-,W,W,W,W,W,,
,,,,2,W,W,-,W,W,W,W,W,,
,,,,3,W,W,B,+,W,W,W,W,,
,,,,4,+,+,-,W,+,+,+,+,,
,,,,5,W,W,-,W,W,W,W,W,,
,,,,6,W,W,+,W,W,W,W,W,,
,,,,7,W,W,-,W,W,W,W,W,,
,,,,8,W,W,-,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
237,5,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=7, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,B,B,B,B,-,+,W,B,,
,,,,6,+,+,+,+,B,W,-,+,,
,,,,7,W,W,W,W,B,B,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
238,6,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,W,B,B,B,B,B,,
,,,,2,B,B,W,B,B,B,B,B,,
,,,,3,B,B,W,B,B,B,B,B,,
,,,,4,B,B,W,B,W,W,B,B,,
,,,,5,-,-,W,B,-,-,-,-,,
,,,,6,B,B,+,B,-,B,B,B,,
,,,,7,B,B,W,+,-,B,B,B,,
,,,,8,B,B,W,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
239,6,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,-,B,B,B,,
,,,,2,B,B,B,B,-,B,B,B,,
,,,,3,B,B,B,B,-,B,B,B,,
,,,,4,B,B,W,W,-,B,B,B,,
,,,,5,W,W,W,B,-,W,W,W,,
,,,,6,B,B,W,B,-,W,B,B,,
,,,,7,B,B,B,B,+,W,B,B,,
,,,,8,B,B,B,B,-,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
240,6,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,B,W,W,,
,,,,2,W,W,B,W,W,B,W,W,,
,,,,3,+,+,+,-,+,-,+,+,,
,,,,4,B,B,B,W,B,B,W,B,,
,,,,5,W,W,B,W,W,B,W,W,,
,,,,6,W,W,B,W,W,B,W,W,,
,,,,7,W,W,B,W,W,B,W,W,,
,,,,8,W,W,B,W,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
241,6,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,B,+,W,W,,
,,,,2,W,W,B,W,B,+,W,W,,
,,,,3,W,W,B,W,B,+,W,W,,
,,,,4,B,B,W,W,B,-,B,B,,
,,,,5,W,W,B,B,W,+,W,W,,
,,,,6,W,W,B,W,W,+,W,W,,
,,,,7,W,W,B,W,W,+,W,W,,
,,,,8,W,W,B,W,B,+,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
242,6,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,+,+,W,W,B,B,+,+,,
,,,,5,B,B,-,-,+,+,B,B,,
,,,,6,W,W,W,W,W,B,W,W,,
,,,,7,W,W,W,W,W,B,W,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
243,6,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,W,W,+,W,W,,
,,,,4,+,+,+,+,+,W,+,+,,
,,,,5,W,W,W,W,B,+,B,W,,
,,,,6,W,W,+,-,W,+,B,W,,
,,,,7,W,W,+,-,B,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
244,6,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,+,W,W,W,,
,,,,2,W,W,B,W,+,W,W,W,,
,,,,3,W,W,B,W,+,W,W,W,,
,,,,4,W,W,B,W,W,-,W,W,,
,,,,5,+,+,-,+,+,B,+,+,,
,,,,6,W,W,B,W,+,W,W,W,,
,,,,7,W,W,B,W,+,W,W,W,,
,,,,8,W,W,B,W,+,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
245,6,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,B,W,W,,
,,,,2,W,W,W,+,W,B,W,W,,
,,,,3,W,W,W,+,W,B,W,W,,
,,,,4,W,W,+,W,W,B,W,W,,
,,,,5,-,-,W,-,-,+,-,-,,
,,,,6,B,B,B,-,B,W,B,B,,
,,,,7,W,W,W,+,W,B,W,W,,
,,,,8,W,W,W,+,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
246,6,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,+,+,+,W,+,+,+,+,,
,,,,5,W,W,W,-,W,-,+,W,,
,,,,6,W,W,W,+,B,-,+,W,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
247,6,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,B,W,W,,
,,,,2,W,W,W,W,B,B,W,W,,
,,,,3,W,W,W,W,+,-,W,W,,
,,,,4,B,B,B,B,-,+,B,B,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,B,B,W,W,,
,,,,8,W,W,W,W,B,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
248,6,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,+,+,-,+,+,-,+,+,,
,,,,4,W,W,W,B,W,W,W,W,,
,,,,5,W,W,W,B,W,W,W,W,,
,,,,6,B,B,-,-,B,B,B,B,,
,,,,7,W,W,+,+,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
249,6,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,B,B,W,W,W,,
,,,,5,B,B,B,W,B,B,B,B,,
,,,,6,W,W,B,W,B,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
250,6,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,W,B,B,B,B,,
,,,,2,B,B,B,W,B,B,B,B,,
,,,,3,B,B,B,-,B,-,B,B,,
,,,,4,B,B,W,-,W,-,B,B,,
,,,,5,B,B,+,-,B,B,B,B,,
,,,,6,B,B,-,+,B,B,B,B,,
,,,,7,B,B,B,W,B,B,B,B,,
,,,,8,B,B,B,W,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
251,6,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,W,+,B,B,B,,
,,,,2,B,B,B,W,+,B,B,B,,
,,,,3,B,B,B,W,+,B,B,B,,
,,,,4,W,W,W,B,-,B,B,W,,
,,,,5,B,B,B,W,-,B,W,B,,
,,,,6,B,B,B,W,-,W,B,B,,
,,,,7,B,B,B,W,+,B,B,B,,
,,,,8,B,B,B,W,+,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
252,6,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,W,B,B,,
,,,,2,B,B,B,B,W,W,B,B,,
,,,,3,B,B,B,B,W,W,B,B,,
,,,,4,W,W,W,W,B,B,W,W,,
,,,,5,B,B,B,B,W,W,B,B,,
,,,,6,W,W,W,W,B,W,W,W,,
,,,,7,B,B,B,B,W,W,B,B,,
,,,,8,B,B,B,B,W,W,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
253,6,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,B,B,B,,
,,,,2,B,B,B,B,W,B,B,B,,
,,,,3,+,+,+,-,-,+,+,+,,
,,,,4,B,B,B,B,-,-,B,B,,
,,,,5,B,B,B,W,+,-,B,B,,
,,,,6,B,B,B,B,W,B,B,B,,
,,,,7,B,B,B,B,W,B,B,B,,
,,,,8,B,B,B,B,W,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
254,6,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,-,W,B,B,B,B,,
,,,,2,B,B,-,W,B,B,B,B,,
,,,,3,+,+,B,+,+,+,+,+,,
,,,,4,B,B,+,B,B,B,B,B,,
,,,,5,B,B,-,W,B,B,B,B,,
,,,,6,B,B,-,W,B,B,B,B,,
,,,,7,B,B,-,W,B,B,B,B,,
,,,,8,B,B,-,W,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
255,6,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,W,W,W,,
,,,,2,W,W,W,B,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,+,+,+,-,-,+,+,+,,
,,,,5,B,B,W,B,B,B,B,B,,
,,,,6,W,W,W,B,W,W,W,W,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,B,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
256,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,W,W,W,W,W,B,W,W,,
,,,,5,B,B,B,+,B,W,B,B,,
,,,,6,-,-,-,-,W,+,-,-,,
,,,,7,W,W,W,W,W,B,W,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
257,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,W,W,W,W,W,B,W,W,,
,,,,5,W,W,-,W,W,B,W,W,,
,,,,6,+,+,+,W,+,-,+,+,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
258,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,W,B,W,B,B,W,W,,
,,,,5,W,W,+,B,B,B,W,W,,
,,,,6,W,W,+,B,-,-,W,W,,
,,,,7,W,W,B,W,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
259,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,W,W,W,,
,,,,2,W,W,W,W,+,W,W,W,,
,,,,3,W,W,W,W,+,W,W,W,,
,,,,4,W,W,W,W,+,W,W,W,,
,,,,5,B,B,B,B,W,B,+,B,,
,,,,6,W,W,W,W,+,+,+,W,,
,,,,7,W,W,W,W,+,B,B,W,,
,,,,8,W,W,W,W,+,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
260,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,B,W,W,,
,,,,2,W,W,W,B,W,B,W,W,,
,,,,3,W,W,W,B,W,B,W,W,,
,,,,4,W,W,W,B,W,B,W,W,,
,,,,5,W,W,W,W,-,-,W,W,,
,,,,6,+,+,+,+,+,+,+,+,,
,,,,7,W,W,W,B,+,+,W,W,,
,,,,8,W,W,W,B,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
261,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,+,W,W,,
,,,,2,W,W,B,W,W,+,W,W,,
,,,,3,W,W,B,W,W,+,W,W,,
,,,,4,B,B,W,B,B,+,W,B,,
,,,,5,W,W,B,W,W,-,B,W,,
,,,,6,B,B,+,-,B,+,B,B,,
,,,,7,W,W,-,+,W,+,W,W,,
,,,,8,W,W,B,W,W,+,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
262,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,B,W,W,,
,,,,2,W,W,W,+,W,B,W,W,,
,,,,3,W,W,W,+,W,B,W,W,,
,,,,4,W,W,W,+,W,B,W,W,,
,,,,5,W,W,+,-,B,B,W,W,,
,,,,6,+,+,W,-,B,+,+,+,,
,,,,7,W,W,W,W,+,B,W,W,,
,,,,8,W,W,W,+,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
263,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,+,W,W,W,,
,,,,2,W,W,B,W,+,W,W,W,,
,,,,3,W,W,B,W,+,W,W,W,,
,,,,4,W,W,B,W,-,+,+,W,,
,,,,5,+,+,+,-,W,W,W,+,,
,,,,6,W,W,B,B,-,W,W,W,,
,,,,7,W,W,B,W,+,W,W,W,,
,,,,8,W,W,B,W,+,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
264,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,B,B,W,W,W,W,W,,
,,,,5,+,+,-,+,+,W,W,+,,
,,,,6,B,B,W,W,W,-,-,B,,
,,,,7,W,W,B,B,B,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
265,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,B,W,W,,
,,,,2,W,W,W,W,W,B,W,W,,
,,,,3,-,-,-,-,-,W,B,-,,
,,,,4,W,W,W,W,W,-,+,W,,
,,,,5,+,+,+,W,W,-,+,+,,
,,,,6,W,W,W,+,+,B,W,W,,
,,,,7,W,W,W,W,W,B,W,W,,
,,,,8,W,W,W,W,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
266,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,-,W,W,,
,,,,3,B,B,W,W,-,W,B,B,,
,,,,4,+,+,-,-,+,W,+,+,,
,,,,5,W,W,W,W,W,+,W,W,,
,,,,6,W,W,W,W,W,+,W,W,,
,,,,7,W,W,W,W,W,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
267,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,B,W,W,W,,
,,,,4,-,-,-,+,-,+,+,-,,
,,,,5,B,B,B,B,+,-,W,B,,
,,,,6,W,W,W,W,+,+,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
268,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,+,W,W,W,W,,
,,,,2,W,W,B,-,W,W,W,W,,
,,,,3,W,W,W,B,+,W,W,W,,
,,,,4,B,B,B,W,+,B,B,B,,
,,,,5,W,W,B,+,W,W,W,W,,
,,,,6,W,W,B,+,W,W,W,W,,
,,,,7,W,W,B,+,W,W,W,W,,
,,,,8,W,W,B,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
269,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,W,W,W,,
,,,,2,W,W,W,W,B,W,W,W,,
,,,,3,W,W,W,W,B,W,W,W,,
,,,,4,W,W,W,+,B,+,W,W,,
,,,,5,B,B,-,B,W,-,B,B,,
,,,,6,W,W,-,-,B,W,W,W,,
,,,,7,W,W,W,W,B,W,W,W,,
,,,,8,W,W,W,W,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
270,6,X/H/Y/Z/CNOT/SWAP,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,B,W,W,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,-,-,-,B,B,-,-,-,,
,,,,6,W,W,W,+,-,B,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
271,6,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,-,+,-,W,W,,
,,,,4,+,+,+,B,W,W,+,+,,
,,,,5,W,W,W,W,W,+,B,W,,
,,,,6,W,W,W,W,W,+,W,W,,
,,,,7,W,W,W,W,W,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
272,6,X/H/Y/SWAP/Z/CNOT,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,B,W,B,W,,
,,,,6,-,-,+,+,B,W,+,-,,
,,,,7,W,W,W,W,+,+,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
273,6,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,B,W,W,W,W,,
,,,,6,W,W,B,B,W,B,B,W,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
274,6,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,B,B,W,W,,
,,,,4,B,B,-,-,W,+,-,B,,
,,,,5,W,W,+,W,+,-,-,W,,
,,,,6,W,W,W,W,W,B,B,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
275,6,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,B,W,W,W,,
,,,,2,W,W,B,W,B,W,W,W,,
,,,,3,W,W,-,+,B,W,W,W,,
,,,,4,B,B,+,+,W,B,B,B,,
,,,,5,W,B,B,W,B,W,W,W,,
,,,,6,+,+,-,+,+,+,+,+,,
,,,,7,W,W,B,W,B,W,W,W,,
,,,,8,W,W,B,W,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
276,6,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,+,W,W,W,W,,
,,,,2,W,W,B,+,W,W,W,W,,
,,,,3,W,W,B,+,W,W,W,W,,
,,,,4,W,W,B,+,W,W,W,W,,
,,,,5,W,W,B,+,W,W,W,W,,
,,,,6,-,-,+,-,-,-,-,-,,
,,,,7,W,W,-,+,B,B,W,W,,
,,,,8,W,W,B,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
277,6,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,W,W,+,W,W,,
,,,,4,W,W,W,W,+,B,B,W,,
,,,,5,B,B,B,B,W,+,+,B,,
,,,,6,W,W,W,-,W,W,+,W,,
,,,,7,W,W,W,W,W,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
